distance,hour,weekday,traffic,duration
13.904399793948143,2,6,1,36.933644369581835
16.02118639320569,17,4,3,56.7460378470689
6.9705737363364735,10,2,3,35.098138361277265
9.254919813219066,10,0,5,54.14959928172634
2.7811656091998316,20,4,3,24.308876122228675
1.0089769240876554,8,6,2,15.748027133133633
18.4583872085859,12,0,1,47.79361843451169
3.384525335480147,22,0,3,28.29611248969153
13.86786386842386,10,6,4,53.86486589022759
8.655893994949436,22,0,5,50.63770874715256
4.702545345413352,20,1,5,42.74918209743927
17.024255456034243,13,1,5,69.9136458375673
15.787682406020322,19,0,2,50.17329343676619
19.713349837164614,8,6,3,62.684715553808324
10.699874926326064,7,1,4,46.37876191871608
11.98191752658346,3,0,3,46.423283923846554
5.40725383317257,10,0,1,20.96809575900955
5.151734483737193,20,2,5,44.720508564858946
15.144815669220803,3,3,2,47.60577891651096
4.040027484091493,22,2,2,22.494445045884454
8.47364291995852,20,6,5,47.67312471474725
18.652959848448884,6,4,2,55.655408863297616
3.7767761834733524,7,0,1,15.37543130782571
1.6546164080945573,0,3,1,10.758999119947482
11.308038203514963,5,5,4,52.19428269153517
18.25085166146178,16,1,5,72.80369918346075
19.92799671010968,17,5,4,68.23188112077537
13.135427640689782,23,5,2,42.98527279476405
9.45140361892676,4,0,1,29.062432131089366
15.531467912850697,23,2,4,61.84972559769019
2.917026840804099,19,2,3,23.813859792034933
3.2938905654088053,13,2,3,25.36524301773695
11.393400983562325,12,1,4,51.72667572517779
3.81690032726401,20,2,4,35.301948490409345
12.427761002763447,5,0,3,48.58561532479613
19.688487455852744,0,6,2,57.6911302899974
4.752973516843115,11,0,2,22.162791379751255
5.68458263711469,11,6,5,43.18886591800087
14.511992773319223,3,5,3,53.83865974259974
14.57715060925237,16,5,4,60.1692563512085
14.98206128468445,9,1,3,53.507196010000484
8.92371079349093,20,3,5,47.99516130465223
3.126522860825694,11,4,2,20.560828118625288
19.383816330885157,1,4,2,53.64674971458834
12.93987585257401,22,2,4,52.77804564218373
17.63947935493562,14,2,2,54.24860287657566
9.281086883378723,12,3,3,38.18635866669222
12.483766741561151,12,1,4,51.26638594125699
1.7941026524468349,10,5,3,19.354091710792677
8.565918486857116,11,2,4,45.70365770111084
3.0364323266833577,9,5,3,27.246197738043243
19.523337984913496,9,0,1,50.2559371194978
15.771091340278826,3,5,3,51.52650504691836
16.915049457542228,5,6,4,63.0526558478281
7.88282594700686,2,1,3,33.50766820428095
15.273953497359141,20,4,3,52.39260540419519
11.90995240970507,13,4,4,48.66090093582523
18.826736644284427,12,1,4,65.55996850919367
14.489265302885421,17,5,4,54.631300050395694
8.54436812397531,4,3,4,44.864087689637344
18.615659581558766,11,6,4,68.77500419527166
1.1994481309889085,14,6,5,34.59251692547506
17.982493550492357,9,4,5,72.91464531828831
17.431296620822177,22,1,3,56.32505729777666
6.501214227236848,22,2,3,35.46490171488991
11.988549551621313,23,6,4,48.887247897435415
10.970810576907278,14,0,4,51.24737751455181
9.232068673719734,11,0,1,30.184520705394263
5.399408668188092,12,6,3,29.31674926487912
17.34410925076879,13,1,4,60.898803914459954
8.055976880445693,12,5,1,22.82490677813662
1.1970760601571393,3,0,1,11.24195260408457
14.518676081036682,14,3,4,58.368187226122174
7.596516842369105,14,4,2,30.378598191234875
18.2873352176421,16,2,1,46.67101085559812
